CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	CHEMICAL_NAME	HMDB	KEGG
100015969	Lipid	Plasmalogen	1-(1-enyl-oleoyl)-2-linoleoyl-GPC (P-18:1/18:2)*	HMDB0010408	None
100015972	Xenobiotics	Drug - Antibiotic	fluconazole	HMDB0014342	C07002
100016005	Lipid	Plasmalogen	1-oleyl-2-linoleoyl-GPC (O-18:1/18:2)*	HMDB0013429	None
100016019	Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-pentadecanoyl-GPC (16:0/15:0)*	HMDB0007967	None
100019761	Lipid	Dihydroceramides	N-palmitoyl-phytosphingosine (t18:0/16:0)	HMDB0010697	None
100019795	Lipid	Phosphatidylethanolamine (PE)	1-palmityl-2-oleoyl-GPE (O-16:0/18:1)*	HMDB0011157	None
100019800	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	3-hydroxypalmitoylcarnitine	HMDB0013336	None
100019892	Lipid	Fatty Acid, Monohydroxy	2-hydroxyarachidate*	None	None
100019915	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytidine 2' or 3'-monophosphate (2' or 3'-CMP)	HMDB0240312,HMDB0011692	C03104,C05822
100019968	Carbohydrate	Pentose Metabolism	lyxonate	HMDB0060255	None
100020217	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N,N,N-trimethyl-alanylproline betaine (TMAP)	HMDB0240365	None
100020219	Xenobiotics	Food Component/Plant	3-formylindole	HMDB29737	C08493
100020227	Peptide	Modified Peptides	pyroglutamylalanine*	None	None
100020242	Amino Acid	Polyamine Metabolism	diacetylspermidine*	HMDB0002172	C03413
100020361	Amino Acid	Urea cycle; Arginine and Proline Metabolism	3-amino-2-piperidone	HMDB0000323	None
100020377	Xenobiotics	Food Component/Plant	ethyl beta-glucopyranoside	HMDB0029968	None
100020417	Amino Acid	Lysine Metabolism	N6,N6-dimethyllysine	HMDB0013287	C05545
100020487	Amino Acid	Polyamine Metabolism	N-acetyl-isoputreanine	None	None
100020723	Nucleotide	Dinucleotide	(3'-5')-adenylyladenosine*	None	None
100020728	Nucleotide	Dinucleotide	(3'-5')-cytidylyluridine*	None	None
100020790	Xenobiotics	Drug - Psychoactive	desmethylcitalopram*	HMDB0014021	C16608
100020825	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	3-hydroxyhexanoylcarnitine (1)	None	None
100020837	Xenobiotics	Drug - Topical Agents	2,6-dihydroxybenzoic acid	HMDB0013676	None
100020893	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	HMDB0240388	None
100020975	Xenobiotics	Chemical	3-hydroxy-2-methylpyridine sulfate	None	None
100021000	Lipid	Sphingomyelins	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	None	None
100021001	Peptide	Dipeptide	cyclo(pro-arg)*	None	None
100021038	Xenobiotics	Food Component/Plant	isoxanthohumol	HMDB34048	None
100021071	Cofactors and Vitamins	Vitamin D Metabolism	vitamin D3 sulfate	None	None
100021110	Xenobiotics	Chemical	bromine	HMDB0031434	None
100021123	Amino Acid	Lysine Metabolism	hydroxy-N6,N6,N6-trimethyllysine*	None	None
100021237	Lipid	Dihydroceramides	N-stearoyl-phytosphingosine (t18:0/18:0)*	None	None
100021330	Lipid	Phosphatidylserine (PS)	1-stearoyl-2-adrenoyl-GPS (18:0/22:4)*	None	None
100021372	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2-hydroxy-4-(methylthio)butanoic acid	HMDB0037115	None
100021467	Partially Characterized Molecules	Partially Characterized Molecules	pentose acid*	HMDB0000892	C00803
100021475	Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-butyryl-isoleucine	None	None
100021478	Amino Acid	Histidine Metabolism	1-methyl-5-imidazolelactate	None	None
100021485	Xenobiotics	Food Component/Plant	feruloylquinate (1)	None	None
100021486	Xenobiotics	Food Component/Plant	feruloylquinate (2)	None	None
100021487	Xenobiotics	Food Component/Plant	feruloylquinate (3)	HMDB0030669	None
100021488	Xenobiotics	Food Component/Plant	feruloylquinate (4)	None	None
100021489	Xenobiotics	Food Component/Plant	feruloylquinate (5)	HMDB0030669	C02572
100021503	Amino Acid	Polyamine Metabolism	N-carbamoylputrescine	HMDB0033458	C00436
100021654	Peptide	Polypeptide	ala-leu-ala	None	None
100021655	Peptide	Polypeptide	ala-ile-ala	None	None
100021656	Peptide	Polypeptide	val-val-ala	None	None
100021728	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	cis-3,4-methyleneheptanoylcarnitine	None	None
100021873	Lipid	Sphingolipid Synthesis	1-deoxysphinganine (m18:0)	None	None
100021922	Amino Acid	Polyamine Metabolism	butyrylputrescine/isobutyrylputrescine	None	None
100021931	Xenobiotics	Drug - Neurological	phentermine	None	None
100022023	Xenobiotics	Chemical	neopentyl glycol adipate**	None	None
100022041	Peptide	Modified Peptides	N,N-dimethyl-pro-pro	None	None
100022120	Amino Acid	Tryptophan Metabolism	oxindolylalanine	None	None
100022479	Amino Acid	Lactoyl Amino Acid	N-lactoyl isoleucine	None	None
100022480	Amino Acid	Lactoyl Amino Acid	N-lactoyl leucine	None	None
100022482	Amino Acid	Lactoyl Amino Acid	N-lactoyl phenylalanine	None	None
100022484	Amino Acid	Lactoyl Amino Acid	N-lactoyl tyrosine	None	None
100022485	Amino Acid	Lactoyl Amino Acid	N-lactoyl valine	None	None
100022517	Lipid	Lysoplasmalogen	1-oleyl-GPC (O-18:1)*	None	None
999911381	None	None	X-11381	None	None
999911580	None	None	X-11580	None	None
999911612	None	None	X-11612	None	None
999911787	None	None	X-11787	None	None
999911795	None	None	X-11795	None	None
999911861	None	None	X-11861	None	None
999912026	None	None	X-12026	None	None
999912027	None	None	X-12027	None	None
999912100	None	None	X-12100	None	None
999912101	None	None	X-12101	None	None
999912111	None	None	X-12111	None	None
999912112	None	None	X-12112	None	None
999912125	None	None	X-12125	None	None
999912411	None	None	X-12411	None	None
999912543	None	None	X-12543	None	None
999912680	None	None	X-12680	None	None
999912740	None	None	X-12740	None	None
999912798	None	None	X-12798	None	None
999913007	None	None	X-13007	None	None
999913431	None	None	X-13431	None	None
999913838	None	None	X-13838	None	None
999914056	None	None	X-14056	None	None
999914254	None	None	X-14254	None	None
999914263	None	None	X-14263	None	None
999914383	None	None	X-14383	None	None
999914392	None	None	X-14392	None	None
999914454	None	None	X-14454	None	None
999914502	None	None	X-14502	None	None
999914904	None	None	X-14904	None	None
999915136	None	None	X-15136	None	None
999915245	None	None	X-15245	None	None
999915461	None	None	X-15461	None	None
999915503	None	None	X-15503	None	None
999915608	None	None	X-15608	None	None
999915806	None	None	X-15806	None	None
999915853	None	None	X-15853	None	None
999915854	None	None	X-15854	None	None
999916391	None	None	X-16391	None	None
999917009	None	None	X-17009	None	None
999917343	None	None	X-17343	None	None
999917348	None	None	X-17348	None	None
999917349	None	None	X-17349	None	None
999917800	None	None	X-17800	None	None
999917808	None	None	X-17808	None	None
999917852	None	None	X-17852	None	None
999917861	None	None	X-17861	None	None
999917877	None	None	X-17877	None	None
999917910	None	None	X-17910	None	None
999917919	None	None	X-17919	None	None
999917969	None	None	X-17969	None	None
999917978	None	None	X-17978	None	None
999918059	None	None	X-18059	None	None
999918278	None	None	X-18278	None	None
999918410	None	None	X-18410	None	None
999919176	None	None	X-19176	None	None
999919299	None	None	X-19299	None	None
999919925	None	None	X-19925	None	None
999919929	None	None	X-19929	None	None
999920100	None	None	X-20100	None	None
999920172	None	None	X-20172	None	None
999920716	None	None	X-20716	None	None
999920728	None	None	X-20728	None	None
999920747	None	None	X-20747	None	None
999921283	None	None	X-21283	None	None
999921327	None	None	X-21327	None	None
999921342	None	None	X-21342	None	None
999921442	None	None	X-21442	None	None
999921742	None	None	X-21742	None	None
999921959	None	None	X-21959	None	None
999922085	None	None	X-22085	None	None
999922099	None	None	X-22099	None	None
999922162	None	None	X-22162	None	None
999923109	None	None	X-23109	None	None
999923173	None	None	X-23173	None	None
999923188	None	None	X-23188	None	None
999923201	None	None	X-23201	None	None
999923240	None	None	X-23240	None	None
999923423	None	None	X-23423	None	None
999923429	None	None	X-23429	None	None
