CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	CHEMICAL_NAME	HMDB	KEGG
480	Amino Acid	Urea cycle; Arginine and Proline Metabolism	proline	HMDB0000162,HMDB0003411	C00148,C000763
482	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	lactate	HMDB0000190	C00186
500	Cofactors and Vitamins	Riboflavin Metabolism	riboflavin (vitamin B2)	HMDB0000244	C00255
501	Xenobiotics	Drug - Topical Agents	salicylate	HMDB0001895	C00805
503	Amino Acid	Glycine, Serine and Threonine Metabolism	serine	HMDB0000187	C00065
507	Amino Acid	Polyamine Metabolism	spermine	HMDB0001256	C00750
512	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	taurine	HMDB0000251	C00245
533	Amino Acid	Urea cycle; Arginine and Proline Metabolism	urea	HMDB0000294	C00086
535	Nucleotide	Pyrimidine Metabolism, Uracil containing	uridine	HMDB0000296	C00299
536	Nucleotide	Pyrimidine Metabolism, Uracil containing	2'-deoxyuridine	HMDB0000012	C00526
537	Amino Acid	Histidine Metabolism	trans-urocanate	HMDB0000301	C00785
561	Amino Acid	Glutamate Metabolism	glutamate	HMDB0000148	C00025,C00217
563	Amino Acid	Glutamate Metabolism	glutamine	HMDB0000641	C00064
564	Amino Acid	Glycine, Serine and Threonine Metabolism	threonine	HMDB0000167	C00188
565	Amino Acid	Tryptophan Metabolism	tryptophan	HMDB0000929	C00078
566	Amino Acid	Leucine, Isoleucine and Valine Metabolism	valine	HMDB0000883	C00183
567	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinate	HMDB0001488	C00253
568	Cofactors and Vitamins	Vitamin B6 Metabolism	pyridoxamine	HMDB0001431	C00534
796	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	alpha-ketobutyrate	HMDB0000005	C00109
798	Nucleotide	Purine Metabolism, Adenine containing	adenosine	HMDB0000050	C00212
799	Amino Acid	Glycine, Serine and Threonine Metabolism	betaine	HMDB0000043	C00719
806	Amino Acid	Glycine, Serine and Threonine Metabolism	dimethylglycine	HMDB0000092	C03626
811	Amino Acid	Alanine and Aspartate Metabolism	alanine	HMDB0000161	C00041
815	Amino Acid	Tyrosine Metabolism	tyrosine	HMDB0000158	C00082
818	Lipid	Fatty Acid Synthesis	malonate	HMDB0000691	C00383
821	Nucleotide	Pyrimidine Metabolism, Uracil containing	pseudouridine	HMDB0000767	C02067
823	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	pyruvate	HMDB0000243	C00022
825	Nucleotide	Pyrimidine Metabolism, Uracil containing	uracil	HMDB0000300	C00106
827	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytidine	HMDB0000089	C00475
849	Xenobiotics	Xanthine Metabolism	caffeine	HMDB0001847	C07481
869	Nucleotide	Pyrimidine Metabolism, Uracil containing	uridine 5'-monophosphate (UMP)	HMDB0000288	C00105
870	Nucleotide	Pyrimidine Metabolism, Uracil containing	uridine 5'-diphosphate (UDP)	HMDB0000295	C00015
872	Nucleotide	Pyrimidine Metabolism, Thymine containing	thymidine	HMDB0000273	C00214
873	Cofactors and Vitamins	Thiamine Metabolism	thiamin (vitamin B1)	HMDB0000235	DG00125,C00378,D08580
878	Carbohydrate	Fructose, Mannose and Galactose Metabolism	fructose	HMDB0000660	C00095
880	Nucleotide	Purine Metabolism, Adenine containing	adenine	HMDB0000034	C00147
881	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytosine	HMDB0000630	C00380
882	Nucleotide	Pyrimidine Metabolism, Thymine containing	thymine	HMDB0000262	C00178
888	Lipid	Medium Chain Fatty Acid	caprate (10:0)	HMDB0000511	C01571
891	Lipid	Long Chain Saturated Fatty Acid	margarate (17:0)	HMDB0002259	None
892	Lipid	Long Chain Saturated Fatty Acid	nonadecanoate (19:0)	HMDB0000772	C16535
893	Lipid	Long Chain Saturated Fatty Acid	arachidate (20:0)	HMDB0002212	C06425
913	Carbohydrate	Glycogen Metabolism	maltose	HMDB0000163	C00208
914	Carbohydrate	Pentose Metabolism	ribose	HMDB0000283	C00121
917	Amino Acid	Alanine and Aspartate Metabolism	asparagine	HMDB0000168	C00152
918	Carbohydrate	Aminosugar Metabolism	fucose	HMDB0000174,HMDB0029196	C01019,C01018
922	Lipid	Dihydroceramides	N-stearoyl-sphinganine (d18:0/18:0)*	HMDB0011761	None
923	Nucleotide	Pyrimidine Metabolism, Orotate containing	dihydroorotate	HMDB03349	C00337
926	Lipid	Medium Chain Fatty Acid	caproate (6:0)	HMDB0000535	C01585
932	Lipid	Medium Chain Fatty Acid	caprylate (8:0)	HMDB0000482	C06423
935	Carbohydrate	Disaccharides and Oligosaccharides	sucrose	HMDB0000258	C00089
936	Cofactors and Vitamins	Vitamin B6 Metabolism	pyridoxine (vitamin B6)	HMDB0000239	D08454
1001	Amino Acid	Urea cycle; Arginine and Proline Metabolism	trans-4-hydroxyproline	HMDB0000725	C01157
1002	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	allantoin	HMDB0000462	C02348,C01551,C02350
1004	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	xanthine	HMDB0000292	C00385
1021	Amino Acid	Glutathione Metabolism	5-oxoproline	HMDB0000267	C02237,C01879
1022	Amino Acid	Tryptophan Metabolism	picolinate	HMDB0002243	C10164
1023	Amino Acid	Glycine, Serine and Threonine Metabolism	sarcosine	HMDB0000271	C00213
1024	Cofactors and Vitamins	Pantothenate and CoA Metabolism	pantothenate	HMDB0000210	C00864
1025	Amino Acid	Lysine Metabolism	pipecolate	HMDB0000070	None
1026	Lipid	Phospholipid Metabolism	phosphoethanolamine	HMDB0000224	C00346
1052	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	glycerate	HMDB0000139,HMDB0006372	C00258
1053	Nucleotide	Pyrimidine Metabolism, Uracil containing	3-ureidopropionate	HMDB0000026	C02642
1082	Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-acetylleucine	HMDB0011756	C02710
1083	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	N-acetylmethionine	HMDB0011745	C02712
1084	Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-acetylvaline	HMDB0011757	None
1087	Lipid	Long Chain Monounsaturated Fatty Acid	erucate (22:1n9)	HMDB0002068	C08316
1099	Nucleotide	Purine Metabolism, Guanine containing	guanosine	HMDB0000133	C00387
1105	Cofactors and Vitamins	Tocopherol Metabolism	alpha-tocopherol	HMDB0001893	C02477
1108	Nucleotide	Pyrimidine Metabolism, Orotate containing	N-carbamoylaspartate	HMDB0000828	C00438
1110	Amino Acid	Alanine and Aspartate Metabolism	N-acetylalanine	HMDB0000766	C02847
1114	Nucleotide	Pyrimidine Metabolism, Thymine containing	3-aminoisobutyrate	HMDB0002166	C05145
1124	Energy	TCA Cycle	citrate	HMDB0000094	C00158
1125	Nucleotide	Pyrimidine Metabolism, Uracil containing	5,6-dihydrouracil	HMDB0000076	C00429
1133	Amino Acid	Tyrosine Metabolism	tyramine	HMDB0000306	C00483
1134	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	urate	HMDB0000289	C00366
1137	Lipid	Endocannabinoid	oleoyl ethanolamide	HMDB0002088	None
1140	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglutamine	HMDB0011738	C05283
1141	Amino Acid	Tyrosine Metabolism	4-hydroxyphenylpyruvate	HMDB0000707	C01179
1143	Lipid	Short Chain Fatty Acid	butyrate/isobutyrate (4:0)	HMDB0000039	C00246
1162	Carbohydrate	Aminosugar Metabolism	N-acetylneuraminate	HMDB0000230	C00270
1200	Amino Acid	Polyamine Metabolism	N(1)-acetylspermine	HMDB0001186	C02567
1206	Energy	TCA Cycle	isocitrate	HMDB0001874	C00451
1207	Amino Acid	Phenylalanine Metabolism	phenethylamine	HMDB0012275	C05332
1212	Carbohydrate	Aminosugar Metabolism	N-acetyl-glucosamine 1-phosphate	HMDB0001367	C04256
1215	Carbohydrate	Aminosugar Metabolism	N-acetylglucosaminylasparagine	HMDB0000489	C04540
1220	Lipid	Phospholipid Metabolism	cytidine 5'-diphosphocholine	HMDB0001413	C00307
1221	Amino Acid	Creatine Metabolism	creatine	HMDB0000064	C00300
1224	Amino Acid	Glutathione Metabolism	cys-gly, oxidized	None	None
1235	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylhistidine	HMDB0029151	None
1242	Nucleotide	Purine Metabolism, Adenine containing	N1-methyladenosine	HMDB0003331	C02494
1248	Nucleotide	Pyrimidine Metabolism, Thymine containing	thymidine 5'-monophosphate	HMDB0001227	C00364
1254	Lipid	Glycerolipid Metabolism	glycerol	HMDB0000131	C00116
1256	Lipid	Phospholipid Metabolism	choline	HMDB0000097	C00114
1268	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylleucine	HMDB0011171	None
1312	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinamide ribonucleotide (NMN)	HMDB0000229	C00455
1382	Xenobiotics	Drug - Psychoactive	fluoxetine	HMDB0014615	D00326
1383	Xenobiotics	Drug - Analgesics, Anesthetics	4-acetamidophenol	HMDB0001859	C06804
1388	Xenobiotics	Drug - Neurological	topiramate	HMDB0005034	D00537
1442	Amino Acid	Leucine, Isoleucine and Valine Metabolism	beta-hydroxyisovalerate	HMDB0000754	None
1489	Lipid	Endocannabinoid	palmitoyl ethanolamide	HMDB0002100	C16512
1518	Lipid	Ceramides	N-palmitoyl-sphingosine (d18:1/16:0)	HMDB0004949	None
1526	Lipid	Phosphatidylethanolamine (PE)	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	HMDB0005320	None
1547	Lipid	Ceramides	N-stearoyl-sphingosine (d18:1/18:0)*	HMDB0004950	None
1869	Xenobiotics	Benzoate Metabolism	2-hydroxyhippurate (salicylurate)	HMDB0000840	C07588
2028	Xenobiotics	Drug - Cardiovascular	metoprolol	HMDB0001932	D02358
2029	Lipid	Fatty Acid, Dicarboxylate	azelate (C9-DC)	HMDB0000784	C08261
2049	Xenobiotics	Drug - Analgesics, Anesthetics	4-acetaminophen sulfate	HMDB0059911	C06804
2051	Amino Acid	Leucine, Isoleucine and Valine Metabolism	methylsuccinate	HMDB0001844	None
2053	Energy	TCA Cycle	tricarballylate	HMDB0031193	C19806
2054	Amino Acid	Leucine, Isoleucine and Valine Metabolism	ethylmalonate	HMDB0000622	None
2070	Xenobiotics	Food Component/Plant	epicatechin	HMDB0001871	C09727,C09728
100000007	Lipid	Carnitine Metabolism	carnitine	HMDB0000062	C00487,C00308
100000008	Xenobiotics	Benzoate Metabolism	benzoate	HMDB0001870	C00180
100000010	Xenobiotics	Benzoate Metabolism	3-phenylpropionate (hydrocinnamate)	HMDB0000764	C05629
100000011	Amino Acid	Phenylalanine Metabolism	phenylacetate	HMDB0000209	C07086
100000014	Xenobiotics	Benzoate Metabolism	hippurate	HMDB0000714	C01586
100000036	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3-methyl-2-oxovalerate	HMDB0000491	C03465,C06008,C00671
100000039	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	methionine sulfoxide	HMDB0002005	C02989
100000042	Amino Acid	Histidine Metabolism	3-methylhistidine	HMDB0000479	C01152
100000043	Xenobiotics	Drug - Analgesics, Anesthetics	4-acetamidophenylglucuronide	HMDB0010316	None
100000044	Amino Acid	Histidine Metabolism	anserine	HMDB0000194	C01262
100000054	Amino Acid	Lysine Metabolism	5-hydroxylysine	HMDB0000450	C16741
100000096	Amino Acid	Guanidino and Acetamido Metabolism	4-guanidinobutanoate	HMDB0003464	C01035
100000103	Amino Acid	Polyamine Metabolism	agmatine	HMDB0001432	C00179
100000110	Amino Acid	Lysine Metabolism	cadaverine	HMDB0002322	C01672
100000112	Amino Acid	Creatine Metabolism	creatine phosphate	HMDB0001511	C02305
100000115	Xenobiotics	Bacterial/Fungal	diaminopimelate	HMDB0001370	C00680,C0666
100000125	Nucleotide	Pyrimidine Metabolism, Cytidine containing	2'-deoxycytidine	HMDB0000014	C00881
100000135	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	2'-deoxyinosine	HMDB0000071	C05512
100000251	Cofactors and Vitamins	Riboflavin Metabolism	flavin mononucleotide (FMN)	HMDB0001520	C00061
100000257	Carbohydrate	Aminosugar Metabolism	glucuronate	HMDB0000127	C16245
100000258	Lipid	Glycerolipid Metabolism	glycerol 3-phosphate	HMDB0000126	C0093
100000263	Amino Acid	Histidine Metabolism	imidazole lactate	HMDB0002320	C05568
100000265	Amino Acid	Tryptophan Metabolism	kynurenine	HMDB0000684	C00328
100000269	Lipid	Phospholipid Metabolism	glycerophosphorylcholine (GPC)	HMDB0000086	C00670
100000275	Carbohydrate	Glycogen Metabolism	maltotetraose	HMDB0001296	C02052
100000276	Carbohydrate	Glycogen Metabolism	maltotriose	HMDB0001262	C01835
100000282	Amino Acid	Glutamate Metabolism	N-acetylglutamate	HMDB0001138	C00624
100000283	Carbohydrate	Aminosugar Metabolism	N-acetylmuramate	HMDB0060493	C02713
100000285	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-alpha-acetylornithine	HMDB0003357	C00437
100000291	Amino Acid	Phenylalanine Metabolism	prephenic acid	HMDB0012283	C00254
100000292	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	protoporphyrin IX	HMDB0000241	C02191
100000295	Xenobiotics	Food Component/Plant	tartarate	HMDB0000956,HMDB0062642	C00552,C02107,C00898
100000299	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	xanthosine	HMDB0000299	C01762
100000341	Carbohydrate	Pentose Phosphate Pathway	6-phosphogluconate	HMDB0001316	C00345
100000406	Carbohydrate	Pentose Metabolism	ribitol	HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508	C00379,C01904,C00474,C00532
100000409	Xenobiotics	Food Component/Plant	2-isopropylmalate	HMDB0000402	C02504
100000437	Xenobiotics	Xanthine Metabolism	theophylline	HMDB0001889	C07130
100000442	Xenobiotics	Food Component/Plant	quinate	HMDB0003072	C00296
100000445	Xenobiotics	Xanthine Metabolism	theobromine	HMDB0002825	C07480
100000447	Amino Acid	Tyrosine Metabolism	gentisate	HMDB0000152	C00628
100000453	Xenobiotics	Xanthine Metabolism	paraxanthine	HMDB0001860	C13747
100000454	Amino Acid	Lysine Metabolism	5-aminovalerate	HMDB0003355	C00431
100000463	Amino Acid	Tryptophan Metabolism	indolelactate	HMDB0000671	C02043
100000467	Amino Acid	Tryptophan Metabolism	3-indoxyl sulfate	HMDB0000682	None
100000479	Xenobiotics	Food Component/Plant	aspartame	HMDB0001894	C11045
100000485	Nucleotide	Purine Metabolism, Adenine containing	2'-deoxyadenosine 5'-monophosphate	HMDB0000905	C00360
100000487	Peptide	Dipeptide	glycylvaline	HMDB0028854	None
100000491	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylphenylalanine	HMDB0000594	None
100000551	Amino Acid	Leucine, Isoleucine and Valine Metabolism	4-methyl-2-oxopentanoate	HMDB0000695	C00233
100000579	Xenobiotics	Drug - Neurological	ritalinic acid	HMDB0042008	None
100000580	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1,5-anhydroglucitol (1,5-AG)	HMDB0002712	C07326
100000611	Lipid	Lysoplasmalogen	1-palmityl-GPC (O-16:0)	None	None
100000639	Lipid	Phosphatidylserine (PS)	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	HMDB0010163	None
100000641	Lipid	Phosphatidylglycerol (PG)	1-palmitoyl-2-oleoyl-GPG (16:0/18:1)	None	None
100000656	Lipid	Lysophospholipid	1-stearoyl-GPI (18:0)	HMDB0240261	None
100000665	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosahexaenoate (DHA; 22:6n3)	HMDB0002183	C06429
100000672	Lipid	Phosphatidylcholine (PC)	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	HMDB0007869	None
100000683	Xenobiotics	Drug - Antibiotic	triclosan	HMDB0061385	C12059
100000706	Amino Acid	Leucine, Isoleucine and Valine Metabolism	alpha-hydroxyisocaproate	HMDB0000665,HMDB00746,HMDB0000624	C03264
100000707	Lipid	Fatty Acid, Dicarboxylate	maleate	HMDB0000176	C01384
100000708	Amino Acid	Leucine, Isoleucine and Valine Metabolism	isovalerate (i5:0)	HMDB0000718	C08262
100000715	Amino Acid	Guanidino and Acetamido Metabolism	1-methylguanidine	HMDB0001522	C02294
100000740	Xenobiotics	Drug - Respiratory	dextromethorphan	HMDB0001920	D03744,DG01078,C06947
100000772	Lipid	Mevalonate Metabolism	mevalonolactone	HMDB0006024	None
100000774	Amino Acid	Phenylalanine Metabolism	phenyllactate (PLA)	HMDB0000779,HMDB0000563	C05607
100000776	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	palmitoylcarnitine (C16)	HMDB0000222	C02990
100000781	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	hexanoylcarnitine (C6)	HMDB0000756	None
100000784	Xenobiotics	Food Component/Plant	theanine	HMDB0034365	C01047
100000787	Amino Acid	Alanine and Aspartate Metabolism	N-acetylaspartate (NAA)	HMDB0000812	C01042
100000792	Lipid	Androgenic Steroids	dehydroepiandrosterone sulfate (DHEA-S)	HMDB0001032	C04555
100000802	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Short Chain)	acetylcarnitine (C2)	HMDB0000201	C02571
100000806	Lipid	Fatty Acid, Branched	isocaproate (i6:0)	HMDB00689	None
100000808	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	cysteine s-sulfate	HMDB0000731	C05824
100000827	Lipid	Monoacylglycerol	1-palmitoylglycerol (16:0)	HMDB0011564	None
100000841	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	oxalate (ethanedioate)	HMDB0002329	C00209
100000843	Xenobiotics	Chemical	HEPES	None	None
100000846	Xenobiotics	Food Component/Plant	erythritol	HMDB0002994	C00503
100000856	Xenobiotics	Chemical	trizma acetate	None	C07182
100000870	Xenobiotics	Food Component/Plant	saccharin	HMDB0029723	C12283
100000905	Xenobiotics	Chemical	3-hydroxypyridine	None	None
100000914	Xenobiotics	Food Component/Plant	caffeate	HMDB0001964	C01197
100000920	Xenobiotics	Food Component/Plant	naringenin	HMDB0002670	C00509
100000936	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3-methyl-2-oxobutyrate	HMDB0000019	C00141
100000964	Peptide	Dipeptide	alpha-glutamylglutamate	HMDB0028818	C01425
100000976	Peptide	Dipeptide	glycylproline	HMDB0000721	None
100000989	Xenobiotics	Chemical	triethanolamine	HMDB0032538	C06771
100000997	Lipid	Fatty Acid, Monohydroxy	3-hydroxydecanoate	HMDB0002203	None
100001006	Amino Acid	Glycine, Serine and Threonine Metabolism	N-acetylglycine	HMDB0000532	None
100001007	Carbohydrate	Pentose Metabolism	ribonate	HMDB0000867	C01685
100001022	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	threonate	HMDB0062620,HMDB0000943	C01620
100001024	Xenobiotics	Food Component/Plant	epigallocatechin	HMDB0038361	C12136
100001026	Carbohydrate	Fructose, Mannose and Galactose Metabolism	galactonate	HMDB0000565	C00880,C15930
100001034	Amino Acid	Tryptophan Metabolism	indoleacetate	HMDB0000197	C00954
100001040	Lipid	Monoacylglycerol	1-linoleoylglycerol (18:2)	HMDB0011568	None
100001042	Xenobiotics	Food Component/Plant	erythrose	HMDB0002649	C01796
100001051	Amino Acid	Histidine Metabolism	1-methylhistidine	HMDB0000001	C01152
100001054	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	butyrylcarnitine (C4)	HMDB0002013	C02862
100001055	Amino Acid	Leucine, Isoleucine and Valine Metabolism	isobutyrylcarnitine (C4)	HMDB0000736	None
100001058	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinic acid mononucleotide (NaMN)	HMDB0001132	C01185
100001059	Nucleotide	Purine Metabolism, Adenine containing	cyclic adenosine diphosphate-ribose	None	C13050
100001081	Amino Acid	Glutamate Metabolism	2-pyrrolidinone	HMDB0002039	None
100001083	Amino Acid	Tryptophan Metabolism	indolepropionate	HMDB0002302	None
100001086	Xenobiotics	Food Component/Plant	N-(2-furoyl)glycine	HMDB0000439	None
100001092	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	trigonelline (N'-methylnicotinate)	HMDB0000875	C01004
100001104	Amino Acid	Tyrosine Metabolism	N-acetyltyrosine	HMDB0000866	None
100001108	Xenobiotics	Xanthine Metabolism	3-methylxanthine	HMDB0001886	C16357
100001112	Lipid	Fatty Acid, Monohydroxy	3-hydroxylaurate	HMDB0000387	None
100001118	Nucleotide	Purine Metabolism, Guanine containing	7-methylguanosine	HMDB0001107	C20674
100001121	Cofactors and Vitamins	Vitamin B6 Metabolism	pyridoxate	HMDB0000017	C00847
100001125	Peptide	Dipeptide	threonylphenylalanine	HMDB0029068	None
100001127	Peptide	Modified Peptides	pyroglutamylglycine	None	None
100001129	Amino Acid	Glycine, Serine and Threonine Metabolism	O-acetylhomoserine	HMDB0029423	C01077
100001132	Peptide	Modified Peptides	pyroglutamylvaline	None	None
100001150	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	propionylglycine	HMDB0000783	None
100001162	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	propionylcarnitine (C3)	HMDB0000824	C03017
100001182	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	docosadienoate (22:2n6)	HMDB0061714	C16533
100001198	Lipid	Long Chain Monounsaturated Fatty Acid	myristoleate (14:1n5)	HMDB0002000	C08322
100001204	Amino Acid	Histidine Metabolism	1-methylhistamine	HMDB0000898	C05127
100001207	Amino Acid	Histidine Metabolism	4-imidazoleacetate	HMDB0002024	C02835
100001208	Amino Acid	Histidine Metabolism	1-methyl-4-imidazoleacetate	HMDB0002820	C05828
100001211	Lipid	Fatty Acid, Dicarboxylate	sebacate (C10-DC)	HMDB0000792	C08277
100001216	Cofactors and Vitamins	Tocopherol Metabolism	delta-tocopherol	HMDB0002902	C14151
100001231	Lipid	Long Chain Monounsaturated Fatty Acid	nervonate (24:1n9)*	HMDB0002368	C08323
100001253	Amino Acid	Glutamate Metabolism	N-acetylglutamine	HMDB0006029	C02716
100001254	Amino Acid	Tryptophan Metabolism	N-acetyltryptophan	HMDB0013713	C03137
100001256	Amino Acid	Phenylalanine Metabolism	N-acetylphenylalanine	HMDB0000512	C03519
100001257	Amino Acid	Alanine and Aspartate Metabolism	N-acetylasparagine	HMDB0006028	None
100001258	Peptide	Dipeptide	glycylleucine	HMDB0000759	C02155
100001262	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamyl-epsilon-lysine	HMDB0003869	None
100001266	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-acetylarginine	HMDB0004620	C02562
100001267	Xenobiotics	Food Component/Plant	piperine	HMDB0029377	C03882
100001270	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	myristoylcarnitine (C14)	HMDB0005066	None
100001272	Lipid	Lysophospholipid	1-oleoyl-GPC (18:1)	HMDB0002815	C03916
100001274	Amino Acid	Glycine, Serine and Threonine Metabolism	N-acetylthreonine	HMDB0062557	None
100001275	Peptide	Acetylated Peptides	phenylacetylglycine	HMDB0000821	C05598
100001276	Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-acetylisoleucine	HMDB0061684	None
100001278	Lipid	Long Chain Monounsaturated Fatty Acid	10-heptadecenoate (17:1n7)	HMDB0060038	None
100001293	Amino Acid	Histidine Metabolism	N-acetylhistidine	HMDB0032055	C02997
100001294	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglycine	HMDB0011667	None
100001296	Xenobiotics	Food Component/Plant	stachydrine	HMDB0004827	C10172
100001300	Amino Acid	Leucine, Isoleucine and Valine Metabolism	alpha-hydroxyisovalerate	HMDB0000407	None
100001309	Xenobiotics	Drug - Psychoactive	hydroxybupropion	HMDB0012235	None
100001310	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinamide riboside	HMDB0000855	C03150
100001313	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylmethionine	HMDB0029155	None
100001314	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylthreonine	HMDB0029159	None
100001315	Xenobiotics	Benzoate Metabolism	p-cresol sulfate	HMDB0011635	None
100001316	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinate ribonucleoside	HMDB0006809	C05841
100001320	Carbohydrate	Aminosugar Metabolism	erythronate*	HMDB0000613	None
100001334	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-acetylproline	HMDB0094701	None
100001335	Lipid	Long Chain Monounsaturated Fatty Acid	eicosenoate (20:1)	HMDB0002231,HMDB0062436	C16526
100001337	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	linolenate [alpha or gamma; (18:3n3 or 6)]	HMDB0003073,HMDB0001388	C06426,C06427
100001359	Energy	TCA Cycle	aconitate [cis or trans]	HMDB0000958,HMDB000072	C004174,C02341
100001386	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	heme	HMDB0003178	C00032
100001391	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	stearoylcarnitine (C18)	HMDB0000848	None
100001396	Xenobiotics	Xanthine Metabolism	7-methylxanthine	HMDB0001991	C16353
100001397	Xenobiotics	Xanthine Metabolism	1,3,7-trimethylurate	HMDB0002123	C16361
100001399	Xenobiotics	Xanthine Metabolism	1,7-dimethylurate	HMDB0011103	C16356
100001400	Xenobiotics	Xanthine Metabolism	1-methylurate	HMDB0003099	C16359
100001402	Xenobiotics	Xanthine Metabolism	5-acetylamino-6-formylamino-3-methyluracil	HMDB0011105	C16365
100001403	Xenobiotics	Xanthine Metabolism	5-acetylamino-6-amino-3-methyluracil	HMDB0004400	C16366
100001411	Xenobiotics	Food Component/Plant	beta-guanidinopropanoate	HMDB0013222	C03065
100001415	Nucleotide	Purine Metabolism, Adenine containing	N6-carbamoylthreonyladenosine	HMDB0041623	None
100001416	Nucleotide	Pyrimidine Metabolism, Orotate containing	orotidine	HMDB0000788	None
100001417	Peptide	Acetylated Peptides	phenylacetylglutamine	HMDB0006344	C04148
100001425	Nucleotide	Pyrimidine Metabolism, Uracil containing	5,6-dihydrouridine	HMDB0000497	None
100001426	Nucleotide	Pyrimidine Metabolism, Uracil containing	3-(3-amino-3-carboxypropyl)uridine*	None	None
100001436	Lipid	Sphingolipid Synthesis	3-ketosphinganine	HMDB01480	C02934
100001437	Amino Acid	Glutathione Metabolism	cysteine-glutathione disulfide	HMDB0000656	R00900
100001445	Lipid	Lysophospholipid	1-palmitoyl-GPA (16:0)	HMDB00327	C04036
100001446	Nucleotide	Pyrimidine Metabolism, Uracil containing	5-methyluridine (ribothymidine)	HMDB0000884	None
100001447	Carbohydrate	Glycogen Metabolism	maltopentaose	HMDB0012254	C06218
100001449	Nucleotide	Purine Metabolism, Adenine containing	adenosine 3'-monophosphate (3'-AMP)	HMDB0003540	C01267
100001456	Nucleotide	Purine Metabolism, Guanine containing	7-methylguanine	HMDB0000897	C02242
100001461	Lipid	Lysophospholipid	1-stearoyl-GPE (18:0)	HMDB0011130	None
100001462	Lipid	Lysophospholipid	1-stearoyl-GPG (18:0)	None	None
100001468	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	N1-methyl-2-pyridone-5-carboxamide	HMDB0004193	C05842
100001472	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	mead acid (20:3n9)	HMDB0010378	None
